game_no,success,actions_taken,runtime_seconds,cumulative_success_rate,avg_actions_per_successful_game
1,1,11,364.500494480133,1,11
2,1,13,358.311439990997,1,12
3,1,10,248.594507932663,1,11.333333333333334
4,1,5,167.587707996368,1,9.75
5,1,24,590.27327132225,1,12.6
6,1,38,1377.58284783363,1,16.833333333333332
7,1,28,698.919996261597,1,18.428571428571427
8,1,7,200.893469572067,1,17
9,1,9,229.887694597244,1,16.111111111111111
10,0,30,5420.89700818062,0.90000000000000002,16.111111111111111
11,1,8,254.733243227005,0.90909090909090906,15.300000000000001
12,1,45,1777.54964375496,0.91666666666666663,18
13,1,13,357.213988780975,0.92307692307692313,17.583333333333332
14,1,5,180.88920044899,0.9285714285714286,16.615384615384617
15,1,14,442.30308842659,0.93333333333333335,16.428571428571427
16,1,12,351.882081508636,0.9375,16.133333333333333
17,1,36,1540.29353904724,0.94117647058823528,17.375
18,1,9,228.152173995972,0.94444444444444442,16.882352941176471
19,1,19,873.18915104866,0.94736842105263153,17
20,1,7,232.728567838669,0.94999999999999996,16.473684210526315
21,1,21,735.741678714752,0.95238095238095233,16.699999999999999
22,1,10,319.747771024704,0.95454545454545459,16.38095238095238
23,1,20,606.14498090744,0.95652173913043481,16.545454545454547
24,1,6,177.098045349121,0.95833333333333337,16.086956521739129
25,1,26,843.898215055466,0.95999999999999996,16.5
26,1,32,1003.62340927124,0.96153846153846156,17.120000000000001
27,1,29,804.593370914459,0.96296296296296291,17.576923076923077
28,1,4,119.439018964767,0.9642857142857143,17.074074074074073
29,0,60,5284.02013206482,0.93103448275862066,17.074074074074073
30,1,16,428.277800559998,0.93333333333333335,17.035714285714285
31,1,9,265.008847475052,0.93548387096774188,16.758620689655171
32,1,42,1507.94590711594,0.9375,17.600000000000001
33,1,9,218.824949979782,0.93939393939393945,17.322580645161292
34,1,22,609.741766691208,0.94117647058823528,17.46875
35,0,60,4998.99841046333,0.91428571428571426,17.46875
36,1,5,170.913378715515,0.91666666666666663,17.09090909090909
37,1,19,593.013313770294,0.91891891891891897,17.147058823529413
38,1,22,691.310336112976,0.92105263157894735,17.285714285714285
39,1,8,261.132217645645,0.92307692307692313,17.027777777777779
40,1,19,505.599060058594,0.92500000000000004,17.081081081081081
41,1,8,245.022483110428,0.92682926829268297,16.842105263157894
42,1,4,132.081095695496,0.9285714285714286,16.512820512820515
43,1,10,259.090334177017,0.93023255813953487,16.350000000000001
44,1,34,1335.28629517555,0.93181818181818177,16.780487804878049
45,1,8,210.901812791824,0.93333333333333335,16.571428571428573
46,1,29,683.918921470642,0.93478260869565222,16.86046511627907
47,1,10,209.005129814148,0.93617021276595747,16.704545454545453
48,1,11,207.337759971619,0.9375,16.577777777777779
49,1,19,390.181565761566,0.93877551020408168,16.630434782608695
50,1,11,237.153534173965,0.93999999999999995,16.51063829787234
51,1,8,168.580552339554,0.94117647058823528,16.333333333333332
52,0,60,2364.79056572914,0.92307692307692313,16.333333333333332
53,1,5,133.310612201691,0.92452830188679247,16.102040816326532
54,1,6,134.001411914825,0.92592592592592593,15.9
55,1,10,261.615811824799,0.92727272727272725,15.784313725490197
56,1,13,261.71005320549,0.9285714285714286,15.73076923076923
57,0,25,3568.02170562744,0.91228070175438591,15.73076923076923
58,1,19,495.459830522537,0.91379310344827591,15.79245283018868
59,1,27,756.32643866539,0.9152542372881356,16
60,1,29,874.618763685226,0.91666666666666663,16.236363636363638
61,1,15,354.125390052795,0.91803278688524592,16.214285714285715
62,1,9,225.302421808243,0.91935483870967738,16.087719298245613
63,1,17,419.771388530731,0.92063492063492058,16.103448275862068
64,1,5,113.061826467514,0.921875,15.915254237288135
65,1,9,192.224092483521,0.92307692307692313,15.800000000000001
66,1,5,117.439337968826,0.9242424242424242,15.622950819672131
67,1,17,465.226571559906,0.92537313432835822,15.64516129032258
68,1,18,423.496476888657,0.92647058823529416,15.682539682539682
69,0,60,2605.1197271347,0.91304347826086951,15.682539682539682
70,1,19,513.48893404007,0.91428571428571426,15.734375
71,1,12,336.139359474182,0.91549295774647887,15.676923076923076
72,1,9,239.794195652008,0.91666666666666663,15.575757575757576
73,1,4,204.680763721466,0.9178082191780822,15.402985074626866
74,1,9,180.623775959015,0.91891891891891897,15.308823529411764
75,1,25,528.430295705795,0.92000000000000004,15.44927536231884
76,1,9,205.462770700455,0.92105263157894735,15.357142857142858
77,0,60,3168.06332874298,0.90909090909090906,15.357142857142858
78,1,4,96.9604516029358,0.91025641025641024,15.19718309859155
79,0,37,3441.75107479095,0.89873417721518989,15.19718309859155
80,1,39,1321.35588312149,0.90000000000000002,15.527777777777779
81,1,13,306.373513221741,0.90123456790123457,15.493150684931507
82,1,10,250.169420003891,0.90243902439024393,15.418918918918919
83,1,23,536.711112260818,0.90361445783132532,15.52
84,1,32,1034.09496927261,0.90476190476190477,15.736842105263158
85,1,13,336.631000041962,0.90588235294117647,15.7012987012987
86,0,60,2481.7405769825,0.89534883720930236,15.7012987012987
87,1,34,1121.35436892509,0.89655172413793105,15.935897435897436
88,1,5,185.054491758347,0.89772727272727271,15.79746835443038
89,1,13,317.621198177338,0.898876404494382,15.762499999999999
90,1,25,1115.14163684845,0.90000000000000002,15.876543209876543
91,1,13,336.275083303452,0.90109890109890112,15.841463414634147
92,1,11,340.118808031082,0.90217391304347827,15.783132530120483
93,0,60,2645.57767748833,0.89247311827956988,15.783132530120483
94,0,60,3369.63361811638,0.88297872340425532,15.783132530120483
95,1,8,246.474289178848,0.88421052631578945,15.69047619047619
96,1,34,1159.50445318222,0.88541666666666663,15.905882352941177
97,1,7,238.631646633148,0.88659793814432986,15.802325581395349
98,1,10,356.063279867172,0.88775510204081631,15.735632183908047
99,1,5,203.07371711731,0.88888888888888884,15.613636363636363
100,1,40,2811.33213639259,0.89000000000000001,15.887640449438202
101,1,11,316.168505907059,0.8910891089108911,15.833333333333334
102,1,40,1818.77684879303,0.89215686274509809,16.098901098901099
103,1,23,764.243442058563,0.89320388349514568,16.173913043478262
104,1,18,623.781560897827,0.89423076923076927,16.193548387096776
105,1,6,227.9710085392,0.89523809523809528,16.085106382978722
106,1,7,210.683323383331,0.89622641509433965,15.989473684210527
107,0,24,5648.40907049179,0.88785046728971961,15.989473684210527
108,1,5,170.676313638687,0.88888888888888884,15.875
109,0,60,3816.44225788116,0.88073394495412849,15.875
110,1,29,943.675810098648,0.88181818181818183,16.010309278350515
111,1,19,541.012450218201,0.88288288288288286,16.040816326530614
112,1,20,772.166371583939,0.8839285714285714,16.08080808080808
113,1,10,236.628915309906,0.88495575221238942,16.02
114,1,16,475.478580236435,0.88596491228070173,16.019801980198018
115,1,15,476.997927904129,0.88695652173913042,16.009803921568629
116,1,25,723.664739131927,0.88793103448275867,16.097087378640776
117,1,4,131.572978496552,0.88888888888888884,15.98076923076923
118,1,52,2107.48764443398,0.88983050847457623,16.323809523809523
119,1,5,140.988436222076,0.89075630252100846,16.216981132075471
120,1,24,776.197099208832,0.89166666666666672,16.289719626168225
121,0,37,4154.43026947975,0.88429752066115708,16.289719626168225
122,1,24,596.242479562759,0.88524590163934425,16.361111111111111
123,0,27,6109.00614142418,0.87804878048780488,16.361111111111111
124,0,60,5343.11674451828,0.87096774193548387,16.361111111111111
125,0,60,4493.74799275398,0.86399999999999999,16.361111111111111
126,1,10,269.419366598129,0.86507936507936511,16.302752293577981
127,1,18,610.50114607811,0.86614173228346458,16.318181818181817
128,1,13,374.676359415054,0.8671875,16.288288288288289
129,1,4,148.706378698349,0.86821705426356588,16.178571428571427
130,1,4,152.442956209183,0.86923076923076925,16.070796460176989
131,1,4,166.596888065338,0.87022900763358779,15.964912280701755
132,1,18,508.386035919189,0.87121212121212122,15.982608695652173
133,1,5,140.983514308929,0.8721804511278195,15.887931034482758
134,1,15,403.208746910095,0.87313432835820892,15.880341880341881
135,1,7,204.82422375679,0.87407407407407411,15.805084745762711
136,1,15,358.076685667038,0.875,15.798319327731093
137,1,23,557.770347118378,0.87591240875912413,15.858333333333333
138,1,4,120.944239616394,0.87681159420289856,15.760330578512397
139,0,60,4423.86590671539,0.87050359712230219,15.760330578512397
